,Unnamed: 0,date,headline,sentiment
69,69,2018-04-12,Indian Crypto Exchanges Consider Relocating in Response to Indian Crypto Ban ,-0.1
70,70,2018-04-12,"Bitcoin Price: BTC Skyrockets $1,000 in Just 60 Minutes, but Why? ",-0.4
71,71,2018-04-11,“The Greatest Bubble in History”: Bank of America “Kills” Bitcoin for 278th Time ,0.8
72,72,2018-04-11,JPMorgan Chase Busted for Unexplained Crypto Charges – Jamie Dimon has some Explaining to do ,-0.6
73,73,2018-04-11,Timothy Enneking Believes the Cryptocurrency Bear Market Is Ending ,0.0
74,74,2018-04-11,Litecoin (LTC) Added to TenX Wallet App – Is there a Litecoin Debit on the Horizon Again? ,-0.1
75,75,2018-04-11,Ripple (XRP) Invests $25 Million in Blockchain Fund ,-0.1
76,76,2018-04-11,"EOS, NEO, Ethereum [ETH], and Icon [ICX] – Lift Off ",0.4
77,77,2018-04-11,22 EU Countries Sign Blockchain Partnership – Progress Made ,-0.5
78,78,2018-04-10,Fake Twitter Accounts and Scam Giveaways – A Problem for Crypto? ,-0.9
79,79,2018-04-10,"Verge (XVG), Ripple (XRP), and IOTA (MIOTA): Climbing the Long Haul ",0.2
80,80,2018-04-10,"Cardano [ADA], Ontology [ONT], & EOS Price Rise ",0.1
81,81,2018-04-10,Ethereum’s [ETH] Most Hyped App Goes Live Today – Golem is Here ,0.1
82,82,2018-04-10,"Bitcoin (BTC) Frenzy is Like an Infectious Disease Spreading, says Barclays ",0.0
83,83,2018-04-10,"Victory Square Enters Into Definitive Agreement to Acquire 100% of Limitless Blockchain Technology, LLC. ",0.1
84,84,2018-04-09,"George Soros is a Potential Cryptocurrency Investor? Despite This, Crypto’s Are Down ",0.0
85,85,2018-04-09,Bitcoin (BTC): What Retailers Accept Cryptocurrency? ,0.1
86,86,2018-04-09,Bitcoin Wallet Supporting the Lightning Network Removed from Google Play ,-0.7
87,87,2018-04-09,"Soros, and Rockefeller: Two Big Names Enter the Crypto Markets ",0.8
88,88,2018-04-09,"NEO, VeChain (VEN), and Verge (XVG): Going Against the Market Trend ",0.2
89,89,2018-04-09,3 Funny Blockchain Chrome Extensions That Will Make You Smile ,0.3
90,90,2018-04-09,Ethereum Is More Popular Than Bitcoin In India ,0.5
91,91,2018-04-09,TRON (TRX) Main Net Announcement: Here’s What’s Happening ,0.0
92,92,2018-04-06,Tron (TRX) vs. Ethereum (ETH) – Crypto Founder Twitter Brawl ,0.3
93,93,2018-04-06,South Africa Might Self-Regulate Crypto ,0.0
94,94,2018-04-06,Bitmain Releasing Ethereum ASIC Miners – UPDATED ,-0.2
95,95,2018-04-06,"EOS, Litecoin [LTC], and Monero [XMR] Falling Despite Best Efforts ",0.9
96,96,2018-04-06,"Bitcoin Stuck Below $7,000 As Analysts Call it ‘Worthless’ ",-0.9
97,97,2018-04-06,"TRON Coin Retreats, Ripple Extends Losses ",0.5
98,98,2018-04-06,Japanese Regulators Suspending Activities of Two More Crypto Exchanges – but what about Coincheck? ,0.0
99,99,2018-04-05,Wall Street Analyst Believes Tax Season will Cause Crypto Selloff ,0.2
100,100,2018-04-05,Coinbase Launches its Own Venture Fund – Big Things to Come ,0.8
101,101,2018-04-05,Will The Trade War Have Any Long-Term Impact on Cryptocurrencies? ,0.4
102,102,2018-04-05,Litecoin [LTC] and Monero [XMR] Grow while Cardano [ADA] Drops ,-0.6
103,103,2018-04-05,TRON Price Outperforming Altcoins ,0.1
104,104,2018-04-05,"EOS, Tron [TRX], & Ontology [ONT] Take Off – BIG Things Ahead ",-0.1
105,105,2018-04-05,"Abra Adds Coins: Stellar (XLM), Bitcoin Gold (BTG), and DigiByte (DGB) Included ",0.7
106,106,2018-04-04,Feedspot News Feed: We Made it in the Top 100! ,0.9
107,107,2018-04-04,Canadian BMO Bank Bans Cryptocurrency Debit Purchases ,0.1
108,108,2018-04-04,Tron [TRX] & Tron Dogs Update – Full Steam Ahead ,0.0
109,109,2018-04-04,Ethereum [ETH] and OmiseGO [OMG] Founders Donate $1 Million USD ,0.2
110,110,2018-04-04,"Ripple, IOTA & Bitcoin: Dropping Below Prior Price ",-0.5
111,111,2018-04-04,Google Mining Extensions – Altcoins Are Tumbling ,-0.1
112,112,2018-04-04,"Crypto Price Correction – Stellar[XLM], Ethereum[ETH], VeChain[VEN], & Nano[NANO] ",0.8
113,113,2018-04-04,Bitcoin Price Could Plunge Another 50% Before Stabilization ,0.0
114,114,2018-04-03,Crypto March Overview: What Coins Were Movers And What Coins Were Losers? ,-0.5
115,115,2018-04-03,"Vitalik Buterin, Ethereum [ETH] Founder, Calls Craig Wright a Fraud ",-0.9
116,116,2018-04-03,"Altcoins Paring Losses – Binance, Cardano, and Stellar ",0.0
117,117,2018-04-03,"Verge [XVG], DASH, & NEM [XEM] – Bright Skies Ahead ",0.8
118,118,2018-04-03,"Ripple (XRP), Lisk (LSK), and Litecoin (LTC): Riding the Crypto Wave ",0.1
119,119,2018-04-03,Death Cross Pattern Fail to Create an Immediate Selloff ,-0.9
120,120,2018-04-02,Bitcoin Price Crash – Death Cross Concerns Are Still Lingering ,-0.3
121,121,2018-04-02,"Ripple (XRP), Cardano (ADA), and NEM (XEM): Which Coin Lost the Most Since 2018 Started? ",-0.7
122,122,2018-04-02,"VeChain [VEN], Steem, & Binance Coin [BNB] Price Jump ",0.3
123,123,2018-04-02,UnitedHealthcare and Humana to Launch Blockchain Provider Record Pilot ,0.0
124,124,2018-04-02, OkEx Exchange – Manipulation Causes Widespread Panic ,-0.8
125,125,2018-04-02,"Stellar (XLM), Monero (XMR), EOS: What’s Happening? ",0.5
